,Texto,Polaridad
55,corazón partío: españa e irlanda se enfrentarán en la eurocopa,N
56,transparencia internacional españa ocupa n xnumx en ranking xnumx pdetrás detrás de chipre emiratos arabes qatarurge ley transparencia ya,N+
57,rt @fanclubmases éstas navidades regala solidaridad #positivegeneration (cont) xurlx,P
58,crisis de identidad rt @loidalois @evaoregan tú eres española por encima de todo,N
59,el teleton hace un gran servicio social y voy a apoyarlo por supuesto rt @karlagglez (cont) xurlx,P+
60,cospedal debería pedir perdón por mentir y utilizar de forma demagógica la rebaja sueldo funcionariosla que ahora aplica sin pudor,N
61,así me gusta mónica @moniromaba @pedroj_ramirez a la orden jefe cualquiera te va a discutir ipad+orbyt+trabajo,P+
62,eso es amigos rt @hombressanzeros @alejandrosanz #navidadsanzerasolidaria todos a comprar (cont) xurlx,NONE
63,hace cinco meses el pp me comunicó por escrito que su interlocutor preferente era iu ello le permitió gobernar ahora pide consensos,P
64,bienvenidos a la brigada anti-vara pero esta región tiene un problema más iu deja tirado a monago xnumx meses después de su nombramiento,N+
65,@gfvara la ley del embudocaracterística de la derecha española animo,N+
66,eso no es cierto nos llevamos de maravilla rt @deyra_love_btr @alejandrosanz por qe (cont) xurlx,P+
67,españa se pone a xnumx punto de ganar su quinta davissevilla d nuevo talismánmañana xnumxh @giraldatves xurlx,P+
68,bueno españa a un punto de ganar la xnumxª copa davis felicidades al equipo,P+
69,durante la campaa cospedal decía lo que oía en casa ahora ya hace lo que oye en casa xurlx,NONE
70,@ssantiagosegura @angyfdz @flofdez borrado está amiguetes un abruzo;),P+
71,para nadaa sabeis que no es asi a veces no coincidimos es todo os mando mucho cariño rt (cont) xurlx,P+
72,adiós al día en el q casi ha culminado el destape dl estado de bienestar q nos va a quedar después d q se lo gastasen casi todo,N
73,auan apeich agromenauerlucas grijander y su progenitor xurlx,NONE
74,la risa ilumina las almas que están bañadas de tristeza la sonrisa es la tibia caricia para la helada soledad wh patrick,P+
75,detener la carrera nuclear de irán debería ser una prioridad estratégica máxima para occidente,N
76,a ver si lo entiendo como banco central europeo no puede prestar a los gobiernos prestará al fmi para q este q si puede lo haga europa,P
77,altos cargos recelan del exhaustivo traspaso de poderes aseguran que se ha convertido en fiscalización xurlx,N
78,buenos dias que buenos eransiguen siendo talking heads,P+
79,@ssantiagosegura jiji y el q se sibe a la mesa dl jurado es el verdadero manolo escobar;)) haciendo d lady marmalade;)) jojijii,P+
80,#malaga plaza de la merced @ plaza de la merced xurlx,NONE
81,los resultados preliminares en egipto auguran un profundo cambio con consecuencias regionalesfalta voto rural q atenuará algo resultados,N
82,tranquilidad en las carreteras en el segundo día de puente de la constitución - xurlx,P+
83,gracias por la hospitalidad ;-) rt @isabelatortlini bienvenido don @aarbeloaxnumx a mi humilde morada ;),P
84,en el espolón conmemorando el día de la discapacidad xurlx,P
85,así es el belén del ayuntamiento xurlx,NONE
86,los vándalos le arrancan de nuevo el lápiz a picasso xurlx,N+
87,esto es apoyar de verdad la @diputacionmlg reducirá impuestos a xnumx pueblos xurlx,P
88,un poco d agua fria despues dl entrenamiento esta mañana ahora a comer un poco d pasta y descanso total para esta noche q sera muy dificil,N
89,que corra el dewars@dewarsspain @jordievole @buenafuente @julia_otero @santi_millan gracias jordi,P
90,detenida la jefa de una prestigiosa ong rusa de control electoral xurlx,P+
91,porque no tenemos programa gracias @kimytwitera @buenafuente buenafuente por q ya no dais tanta risa,N
92,mi artículo en esd la testarudez del consejero de salud riojano pone a sanz en la picota xurlx,N
93,noelia noelia noelia@njimenezxnumx me parezco a @pedroj_ramirez en el manejo del ipad a ver si empiezo a parecerme en lectores,NONE
94,la vida no se mide por las veces que respiramos sino por aquellos momentos que nos dejan sin aliento (vía @ifilosofia),NONE
95,sinceramente estoy observando la zona de recreo psiquiátrica del hcivil y es patético lo que veo xurlx,N+
96,con fina mi mujer amigos y el reparto de iceberg nueva película de gabriel velázquezpor gabri no pasan los años xurlx,P+
97,@diario_sur así esta la zona de recreo psiquiátrica en el hospital civil patético son personas xurlx,N+
98,me reservo dónde y cómo deposito mis ahorros con mi familia sólo estoy obligado a la trasparencia pública aunque veo que hay mucho experto,N+
99,nada como unos rollitos de vez en cuando xurlx,NONE
100,bien que lo siento si es asíla uedila la bienvenida ayeresperemos que aun salga adelante,N
101,rt@franhervias:upyd pacta con cascos para tener grupoa pesar d que en xnumx decían que no era lícito este tipo d pactos xurlx,NEU
102,bueno a ver qué hace el madrid lo comentamos dentro de un rato con edu en radio marca,NONE
103,señora @mjmonteroc mire usted el estado de la zona de recreo de psiquiatría del hospital civil de #malaga xurlx,NONE
104,gracias amigos ya somos xnumx;),P+
105,ey @ivangeba que si esta aquí la consejera de salud @mjmonteroc,NONE
106,@carlos_latre twitcam twitcam twitcam twitcam twitcam twitcam,NONE
107,ojala en españa fuera igual rt @cdperiodismo en brasil se necesitará diploma para ejercer el periodismo xurlx,NEU
108,preciosa de verdad - perdóname by pablo alborán from #soundhound xurlx,P+
109,ataque de inyección sql masivo xurlx,N+
110,descansando xnumx xurlx,NONE
111,mira @sblanco nuestro árbol ;-)) xurlx,P+
112,je je eso es bueno @mkreyesxnumx @buenafuente me has hecho llorar de risa,P+
113,rt @nosesiaporto vamos chilenos ultimo esfuerzo al banco queda poco y lo lograremos la teleton te necesita,P+
114,ya estamos por qué no me duermo lo voy a intentar no debe ser tan difícil,P+
115,rt @betolash a ver pau cuánto es xnumxxnumx un jeep todo terreno maestra #multiplicocomopaulinarubio ja ja ja muy bueno,P+
116,por qué los medios de comunicación se han llenado de anuncios oficiales no había q recortar el gasto publico quien lo denuncia,N
117,buenos dias y mil gracias rt @pvcmalaga buen día @mariviromero mi concejala favorita,P+
118,@javierarenas_pp critica que @pepegrinan pida a @marianorajoy una reunión que niega a sus alcaldes xurlx,N
119,@marianorajoy salir adelante no es tarea de un gobierno solo xurlx,NONE
120,krugman la austeridad está matando al euro xurlx via @el_pais,N
121,@sgueina quién es el tapado del psoe la respuesta está en mi blog xurlx sólo ha leído dos libros era una metáfora,N
122,@rutenca @sgueina el tapado ha leido más de xnumx es licenciado en historia contemporanea y master en integración europeaviva la ironía,NEU
123,;-)) rt @cacmalaga xurlx @cacmalaga #arte #cultura #pintura #museo #museums,P
124,rajoy quiere que españa vuelva a tener relevancia en europa xurlx,P
125,políticos q no responden en ningún país dl mundo homologable al nstro se tolera semejante práctica xurlx via @antonlosada,N+
126,@evaoregan @antonlosada obviamente contar que son declaraciones q no ha permitido preguntas,N
127,no podía faltar dominguito en mi tierra y final de la davis con el cuñao (@carlos_muela ) xurlx,P
128,palmas por sevillanas para animar a rafa #sevillaciudadtalisman #copadavis,P+
129,recién llegada a madridpor fin en casitaa pero que fríono me quiero ni imaginar como hará en la sierra y mas cuando sea de noche,NEU
130,retazos de una primera dama xurlx,NONE
131,chico & rita premio europeo a la mejor cinta de animación xurlx,P+
132,vamos equipo vamos nadal toda españa esta en tu mano eres el mejor y contigo todos vamos a ser campeones también elorrio,P+
133,otro passing escalofriante sobre la linea pone a nadal xnumx a xnumx en el tercerola ensaladera mas cerca#vamosrafa #copadavis ole @rafaelnadal,P+
134,buen artículo de ld hay que arrimar el hombro la asociación de ayuda a las víctimas del xnumx-m al borde del cierre xurlx,NEU
135,dicen q esta el rey en la cartuja hoy es el dia en q tve tendría q sacarle todo el rato hacer patria sera la imparcialidad,P
136,menudo break en blanco ha logrado delpotro vamos a sufrir hasta el final los hinchas argentinos descentran a rafa,NEU
137,@beagarciachv @edurnity mi segundo apellido es camello tendré algo que ver con los reyes magoste doy mi carta y se la dasjajja bss,P+
138,@marinitamf @edurnity ojo que yo me apellido molas tal cual y no es bromaen serio como mola jajjaja,P+
139,viaje a las embajadas catalanas del derroche - abces xurlx via @abc_es,N+
140,este set lo está ganando el público argentino del potro había tirado la toalla comenzaron a cantar y van ganado rafa puede #vamosrafa,P+
141,@ryankuletz creo que @edurnity se ha puesto a responder tweets sobre apellidos por el iphone #cosasquenuncaentenderas :)jaajjajajja,P+
142,amonestado el público argentino en la cartuja,N
143,y rafa saluda a todo el equipo argentino qué talla de campeón,P+
144,la quinta ensaladera nadal saludando al equipo argentino y ahora al público oe oe oe,P+
145,ya esta aquí ya llegó por fin la quinta ensaladera gracias a todos los miembros del equipo hoy mucha gente dormirá feliz,P+
146,que grande ese abrazo de nadal con todo el equipo argentino impresionante como sabe ganar este campeón,P+
147,grandioso rafa nadal,P+
148,el público que cante gritando sin parar por eso yo te quiero dar rafa mi corazón yo te sigo a todas partes gracias por ser español,P+
149,el camino no puede ser otro que más europa #enmiblog,NONE
150,el partido de putinmedveded (rusia unida) gana los comicios pero sufre una fuerte caía segundo partido más votado partido comunista,NEU
151,madrid ciudad sin niños aumenta el número de personas que viven solas,NONE
152,felicidades a @rafaelnadal y a todo el equipo español de copa davis todo un ejemplo de esfuerzo ilusión y superación rbcb,P+
153,#donaundia los xnumx primeros días cruciales para la vida del niño xurlx entra y colabora ( rts plis ),NONE
154,estoy viendo los editoriales @jjesusmelian @pedroj_ramirez cuentalo ya q estamos en el descanso,NONE
155,fantásticas a cual mejor @marisolcovelo qué os parece mi foto de #elprimernaufragio xurlx xurlx,P+
156,fin a la impunidad en #internet xurlx,P
157,a mi me parece muy digno que la ministra italiana de trabajo llore no me lo parecían las risas de berlusconi,N
158,una entrevista es un punto intermedio entre una sesión de psicoanálisis y un concurso a veces no tengo respuestas fellini,NONE
159,en el blog lágrimas tecnócratas xurlx,N
160,los ministros d @marianorajoy fin de la ineptocracia @semanaldigital @ppopular xurlx,N
161,portada de público de mañana urdangarin sa dentro la lista de las xnumx entidades que pagaron a nóos xurlx,N
162,a por @crackoviadetvxnumx ;)) buenos días queridos twiteros;)),P
163,gracias venezuela xurlx,P+
164,bdías elisabeth estoy muy orgulloso de que em haya localizado en un remoto lugar de rumania al testigo que no acudió al juicio,P+
165,cómo se explica que miles de españoles se ausenten en masa del trabajo durante el puente mientras en españa hay xnumx millones de parados,N+
166,mas es presidente autonómico porque tenemos autogobierno gracias a la constitución pero ni la cumple ni la hace cumplir #fueradelaley,N
167,sobre accidentes rt @santigonzalezxnumx él había llegado antes xurlx,N
168,xurlx una lectura de lo que ha ocurrido este fin d semana en #rusia con #putin y su partido en @larazon_es,NONE
169,dani garcía recoge en un libro xnumx tapas para acercar la cocina a la sociedad xurlx,P
170,el voluntariado invisible xurlx #diadelvoluntariado,NONE
171,el gobierno chino cree que el país no está preparado para protestas sociales - xurlx por verte en la tele @alejandrosanz eterno,N
172,de veras mira que yo soy muy timido para esas cosas rt @gisela_sanz @alejandrosanz que lindo (cont) xurlx,P
173,bdia hoy estrena mario picazo en tve climas extremos la vida casi imposible xurlx amigo,P+
174,las razones de público por @jesusmarana xurlx,NONE
175,gracias a todos por lo ánimos,P+
176,en la toma de posesion de isabel borrego como secretaria de estado de turismo con el ministro @jmsoria,NONE
177,posada acuerda on los fotógrafos precisar y cambiar si cabe la norma que limita las fotos en el #congreso xurlx año tras año xurlx,P
178,el sector del lujo cierra el ejercicio con un xnumx% más de beneficios quién sufre la crisis pues eso,NEU
179,que bonito despliegue de seguridad en alfonso xii contravigilancia en toda la manzana y no es nadie del gobierno,P+
180,uno de los desafíos del periodismo encontrar su sitio para no perder la vigilancia del poder via @clarin_com xurlx,P
181,el @ppandaluz no aceptará el caramelo de una presidencia de dos años en la famp si no hay refundación xurlx @europapress_es,N
182,sí raritos q somos si yo fuera españa y se tratara de elegir entre xnumx o xnumx años de caos y xnumx o xnumx en la miseria xurlx,N
183,rt @perezhilton @paurubio que triste es esto pau xurlx @jonahmowryreal &lt;xnumx xurlx,N
184,joo :-) rt @xaviconde me dice @tonicantoxnumx que quiere rapear una estrofa del villancico lo siento toni aquí tenemos a @padrinomc,P
185,en estos días de traspaso de poderes os recomiendo seguir a xnumx personas claves en el proceso @sorayapp @jlayllon y @fatimabanez entre otros,NONE
186,entiendo que cnn conecte por skype con disidentes en siria pero que la mayoría de las conexiones ya sean por cámara de móvil,NEU
187,detienen a dos sospechosos por secuestro cooperantes españoles en tinduf intentaron venderlos a aqmi xurlx v @plazaroxnumx,N
188,#icanadmit #elcomecocosxnumx merkel y sarkozy y #cuatrotuiteros los tt esta tarde en españa,NONE
189,el @ppopular no descarta otra ronda de reuniones con ministerios para traspaso de poderes después de recibir información pedida al gobierno,NONE
190,toda suya @juliosandreu sí sr la he grabado un saludo desde el otro lado jeje ( de españa ) buena tarde,P+
191,y hable con el corazón de los afectos y en esas cosas la justicia habla idiomas diferentes insisto dusculpad pero volvería a hacerlo,NONE
192,entiendo los unfollow aceptar el desconcierto y hasta reconocer errores pero creo fuera de lugar anunciar venganza radiofónica eso no,P
193,;-)) rt @carlosserratoxnumx #fw para @mariviromero y mucha suerte con tu primera entrevista aquí el hastag es #ynterviumarivi,P+
194,españa gasta mas en sanidad que tofo el presupuesto en sanidad núñez feijoo en @gato_directo,N+
195,a las xnumx mi primera entrevista en directo en twitter si quieres seguirla busca el hastag #ynterviumarivi l xurlx,P
196,feliz dia del voluntario los hëroes anónimos los del sacrificia por eleccion propia gracias por tanto,P+
197,gracias rt @pepemaras #ynterviumarivi interesante la entrevista de @mariviromero nuevas herramientas nuevas formas de comunicar,P+
198,gracias a ti paco rt @pacorengel #ynterviumarivi @mariviromero muchísimas gracias un beso la cuelgo en un ratito en xurlx,P+
199,aunque en menor medida también lo son muchisisimas que no son madres ;) @ejoana supermujeres gran post de @virginiapalonso xurlx,P+
200,una vez q ha hablado el protectorado franco-alemán la europa a xnumx o xnumx velocidades está hecha ahora falta ver dónde queda españa,N
201,impresionante enhorabuena a @enpiedeguerra y un beso a @chiquiesteban percebeiros de david beriain a por el goya xurlx,P+
202,sorgiñas culebras cabrones negros de barba larga,N
203,enough today la semana es larga y seguramente más apasionante de lo recomendable,P+
204,me voy a leer un rato un día más con vida de ryszard #kapuscinscki gran descubrimiento del reportero polaco ;) xurlx,P
205,disculpad la vehemencia pienso en ello para una peli,NONE
206,despegando yaque lindo mi pais que linda mi gente --shak,P+
207,synteknosa pax ahora actuando claaro que si xurlx,NONE
208,bono celebra su última fiesta en el congreso y la pregunta es si habrá un viva españa con @juanralucas y en rne para arrancar,P
209,triste rt @joseplluiscerro rt @skalistrao papá nosotros qué somos catalanes o fachas barcelona cataluña xurlx,N
210,extorsión mafiosa por carlos garcía - en xurlx vía @larazon_es,N
211,no sé de que se sorprenden algunos el pp presenta unos presupuestos tarde sin negociar cargándose la universidad recortando derechos,N
212,se plantea rajoy subir el iva xurlx,N+
213,constitución constitución cuántos viajes y comidas gratis se han dado en tu nombre feliz día,N+
214,buenos días el hastag debería ser #cincotuiteros porque yo soy uno de ellos #cuatrotuiteros,NONE
215,buenos días party time,P
216,a los okupas no les gusta el edificio de concepcion jeronima xq esta en obras les gustan mas los edificios a estrenar pero sin pagar,NEU
217,hoy en el día de la constitución me acuerdo como cada día de los millones de personas bajo en umbral de la pobreza #vivalaconstitucion,N
218,monti dice que no cobrará como primer ministro demagogia populista para hacer tragar el ricino de los recortes la aristocracia financiera,N+
219,el «vuelva usted mañana» pero por mail - abces xurlx via @abc_es,NONE
220,rubalcaba responde a ridao en el país xurlx el artículo del que habla es éste xurlx vía @guerraeterna,NONE
221,chacón confía en la democracia interna de los partidos día de la constitución #congreso,P+
222,@marianorajoy #congreso primera ley será desarrollo reforma constitución xra garantizar estabilidad presupuestaria lo dirá #zp n bruselas,P
223,diferentes ciudadanos leen artículos d la constitución en el acto de @ciutadans_cs en la ciutadella xurlx,NONE
224,empieza el acto de homenaje a la constitución con el próximo presidente del gobierno #vivalaconstitucion xurlx,P+
225,bono a zp has dado lo mejor de ti a españa en un momento muy difícil a rajoy le desea acierto en sus decisiones x el bien de todos,P
226,gallardon habla amigablemente con zapatero guerra con alonso pepiño recibe el cariño de periodistas amigos,P+
227,por qué será que hoy parecía haber más gente en la recepción oficial del aniversario de la constitución,NONE
228,otro enchufado más antes de que se vaya zp xurlx,N
229,rajoy rompe su silencio en la fiesta del congreso plagada de ausentes xurlx,N
230,corrillo rajoy los tengo [a los ministros] en la cabeza pero no he hablado de nada con nadie sorpresas soy razonablemente previsible,NEU
231,las instituciones deberían hacer dl día d l constitución xnumx fiesta cívica d todos destacando valores democráticos y no xnumx acto para políticos,P+
232,en alguna ca como cataluña ni siquiera hay acto institucional en un día como hoyno interesa recordar #laconstitucionquenosune,N
233,conference robert steele en globalchase uned estrategias de inteligencia ante las amenazas económicas globales xurlx,NONE
234,me agrada coincidir con mi amigo mechor en la denuncia de las tecnicas mafiosas en el euskadi,P
235,dios mío es tan real que da miedo ánimo mamás trabajadora nosotras podemos supermujeres xurlx,P+
236,menos palabras y mas hechosinauguración con tirón de orejas sures xurlx,NONE
237,ya yagriñán ve imposible ser imputado en el caso ere xurlx,N+
238,gracias por seguirme @rodolfotesone ;-)),P+
239,yo ya me he inscrito #fotosytuitsxnumx xurlx vía @amiando,NONE
240,una vez me dijo un amigo hace daño quien puede y no quien quiereque razon tenia seguire aqui por esas xnumx personas que me quereis,NEU
241,y ahí va el editorial rt por favor cómo pasar en el xnumx-m de impostor a testigo de cargo xurlx,N
242,rajoy xnumx-xnumx para el madrid zapatero para su barça y rubalcaba evita mojarse - abces xurlx via @abc_es,NONE
243,a ver se aclara lo de las entradas o qué aquí los actores esperando #terratpack xurlx,P
244,el museo de la cueva de nerja abre con una previsión de xnumx visitas al año xurlx,P+
245,el día en que merkel dejó de ser socialista por @basteiro xurlx,NONE
246,@lhermoso_ xnumx periodistas han sido asesinados durante el último año en honduras xurlx,N+
247,ahora si que me despido a lavar los piños y pa la cama hola @lucia_miguel un beso de buenas noches para ti que veo que acabas de llegar,P
248,tu q sabes seguro q me has entendido @antoniocamunas :),P+
249,sintonía total entre rajoy y zapatero con importantes matices de rubalcaba la recepción del día de la constitución xurlx,P
250,merkel y sarkozy se rinden a los encantos del presidente rajoy xurlx vía @semanaldigital,P+
251,rt @nurvaca sr mas no garantizar una sanidad publica de calidad universal es anticonstitucional por eso no celebra dia constitucion,N
252,la noticia es la q he contado en el @telediariointer un alto cargo del psoe declarara como testigo ante la juez del xnumxm antes de navidad,NONE
253,buenos días sin presidente del gobierno pleno y sin verdadero líder d la oposición los partidos se ponen d acuerdo luego es posible,N+
254,a los güenos días,NONE
255,nadie le cree pero jura y perjura q sí q deja la política y se va a walt disney los corrillos del congreso con @susannagriso,NONE
256,europa se construye recortando estado del bienestar austeridad si pero inteligente estado del bienestar moderno e inversión cree empleo,N
257,no dejeis de ver el video que acabo de rt con la declaración de j-xnumx fijaos en bermudez en los minutos xnumx y xnumx zougam merece otro juicio,P
258,#bdías vaya tiempo que hace hoy niebla que parece que estamos en la boca del lobo y frío mucho frío apetece algo calentido pal cuerpo,N+
259,buenos días os adjunto mi columna hoy en @abc_es sobre la necesidad d una reforma constitucional xurlx,P
260,de dónde saldrá el dinero para el banco malo de rajoy según el wsj xurlx,N
261,a vosotros rt @tudnie gracias marivi rt @mariviromero me encanta ver por aqui a @tudnie ;-)),P+
262,sobre una amiga y compañera de partido xurlx,P
263,interesante análisis de @iurquizu sobre los retos del socialismo xurlx,P+
264,la aventura de dibujar málaga xurlx,NONE
265,igualmente@susannagriso te responderé dentro de nueve meses @buenafuente un inmenso placer tenerte hoy en @espejopublico,P
266,en periodistas xnumx hablar a la televisión xurlx,NONE
267,a las xnumx en @axnumxnoticias los pilotos de iberia ponen en riesgo el viaje de navidad de miles de personas huelga los días xnumx y xnumx de diciembre,N+
268,a las xnumx en @axnumxnoticias os contaremos algunas de las noticias sobre las que más se ha tuiteado en xnumx,NONE
269,queremos potenciar y estimular a los mejores alumnos será impartido por profesores funcionarios,P
270,si eso bono podía haber convocado la última diputación permanente del congreso el lunes a las xnumx de la noche sólo lo ha hecho a las xnumx xnumx,NEU
271,la novia de cristiano ronaldo irina de nombre prefiere jugar sin camiseta se vé que no aprecia tanto los colores xurlx,N
272,por qué no se exige a los bancos intervenidos con dinero público una linea d crédito para pymes autónomos y nuevas empresas que contraten,N+
273,otra lectura navideña recomendada el reto de rajoy de @oscarelia y rafa bardají,P
274,por qué el felipismo suspende su cena conciabulo se lo contamos en el @telediariointer xnumx:xnumx,N
275,sinde echa mano de chequera para beneficiar a sus amigos se lo contamos en nuestro top secret @telediariointer xnumx:xnumx,N+
276,andalucía pretende robar los colegios de los curas y monjas se lo contamos en el @telediariointer xnumx:xnumx,N
277,españa pide eurobonos se lo contamos desde marsella @telediariointer xnumx:xnumx,NONE
278,de la torre espera llegar a un acuerdo con el puerto por el traslado de los cruceristas xurlx,P
279,el ayuntamiento plantea un proyecto que mejora la accesibilidad del teatro romano xurlx,P+
280,yo nunca he dicho eso @jorgealacidxnumx @martagllera @pedroj_ramirez pero no habíamos quedado en que fue eta,N+
281,hoy en el gato juan rosell a favor del banco malo xurlx,N
282,mañana contamos en el país la charla con la que iñaki urdangarín convenció a jaume matas para firmar el convenio de nóos de,P+
283,empezamos en @mundoacuestas con @carloscuestaveo @inquisidortv @chanihenares @santiabascal eduardo inda ricardo martin y luis peiró #veotv,NONE
284,llaman a iu antisistema por denunciar la reforma que los mercados han hecho a la constitución y ellos que son anticonstitucionales,N
285,jeje rt @mariadeonate @tonicantoxnumx lo siento pero esta mañana me he echado unas risas a tu costa ;),P
286,interesante militantes @psoe q votan delegados congreso rt @reginomateo guadalajara abriendo camino xurlx v @martagaston,P+
287,rt @alopezmillan @mariviromero octava polticamcon + seguidores en twitter en españa @agarzon decimotercro xurlx vía @,NONE
288,rt:@fernavarroxnumx en los periódicos falta calor sudor humanidad gran entrevista sobre periodismo xurlx vía @ceciliab,NEU
289,una lástima lo de hoy pero esto no termina acá en el fútbol siempre hay revancha y tenemos equipo para pelear por grandes cosas,N
290,a vosotros siempre ;-)) rt @xnumxmnxnumxd @mariviromero gracias :),P+
291,mucho insomne por aquí será por el presunto puente o por el recorte de la familia real :-),NEU
292,se han callado habrá pasado algo,NONE
293,gracias a los xnumx principales chile que se ha unido a xurlx podeis visitar la (cont) xurlx,P+
294,ahora dicen que regalan la cam al banco sabadell a cargo del fondo de garantía se olvidan del frob financiado con fondos públicos,P
295,mis disculpas a @jcacho por confundirlo con jesús cacho,N
296,el duque ofreció a matas su amistad con leblanc para llevar el tour a baleares y lograr el contrato del millón xurlx,P
297,rajoy acaba de entrar en la asamblea del pp europeo sonriente y a punto de comenzar maratón de reuniones,P
298,la heredera en la sombra del imperio zara xurlx,P
299,+xnumx rt @carlos__alsina los lectores de chaves nogales de enhorabuena xurlx,P+
300,#malagaconabraham xurlx,NONE
301,rajoy ha estado hora y media reunido con barroso analizando las diferentes posturas de cara a la cumbre de la ue,NONE
302,@jesusmarana @mjguemes @sgueina a ver si es verdad,NONE
303,excelente resumen de la presentación del último disco de bebe escrito por fermín zabalegui @xnumxmaneras xurlx,P+
